"dataname","replacement","Npredator","Nprey","Nconsumed.mean","Nconsumed.var","Nconsumed.se","n","log.Nconsumed.mean","log.Nconsumed.var","log.Npredator"
"Crowley_1989",TRUE,1,48,43.74,35.5216,1.49,4,3.77826301524862,3.57014096215452,0
"Crowley_1989",TRUE,2,3,7.44,11.8336,0.86,4,2.006870848845,2.47094294277061,0.693147180559945
"Crowley_1989",TRUE,2,6,12.74,87.6096,2.34,4,2.54474665014402,4.472890580979,0.693147180559945
"Crowley_1989",TRUE,2,12,20.38,6.5536,0.64,4,3.01455402779458,1.88001451698294,0.693147180559945
"Crowley_1989",TRUE,2,24,32.48,71.9104,2.12,4,3.48062451529348,4.27542089960762,0.693147180559945
"Crowley_1989",TRUE,2,48,63.9,933.9136,7.64,4,4.15731936138349,6.83938392859664,0.693147180559945
"Crowley_1989",TRUE,3,3,8.91,14.7456,0.96,4,2.18717424148272,2.69094473319927,1.09861228866811
"Crowley_1989",TRUE,3,6,10.5,58.9824,1.92,4,2.35137525716348,4.07723909431916,1.09861228866811
"Crowley_1989",TRUE,3,12,23.58,78.8544,2.22,4,3.16039889510922,4.36760311400816,1.09861228866811
"Crowley_1989",TRUE,3,24,36.63,274.2336,4.14,4,3.60086757679072,5.61398029791423,1.09861228866811
"Crowley_1989",TRUE,3,48,51.27,274.2336,4.14,4,3.93710578579561,5.61398029791423,1.09861228866811
"Elliot_2005_i2",TRUE,2,20,0.6,0.488888888888889,0.0699205898780101,10,-0.510825623765991,-0.715620036412004,0.693147180559945
"Elliot_2005_i2",TRUE,3,20,1,0.666666666666667,0.0816496580927726,10,0,-0.405465108108164,1.09861228866811
"Elliot_2005_i2",TRUE,4,20,1.3,0.455555555555556,0.0674948557710553,10,0.262364264467491,-0.786237603625957,1.38629436111989
"Elliot_2005_i2",TRUE,5,20,1.7,0.455555555555556,0.0674948557710553,10,0.53062825106217,-0.786237603625957,1.6094379124341
"Elliot_2005_i2",TRUE,2,40,1.3,0.233333333333333,0.0483045891539648,10,0.262364264467491,-1.45528723260684,0.693147180559945
"Elliot_2005_i2",TRUE,3,40,2,0.888888888888889,0.0942809041582063,10,0.693147180559945,-0.117783035656384,1.09861228866811
"Elliot_2005_i2",TRUE,4,40,2.6,3.82222222222222,0.195505043981536,10,0.955511445027436,1.34083198704313,1.38629436111989
"Elliot_2005_i2",TRUE,5,40,3.2,1.51111111111111,0.122927259430572,10,1.16315080980568,0.412845215405787,1.6094379124341
"Elliot_2005_i2",TRUE,2,60,1.9,0.544444444444444,0.0737864787372622,10,0.641853886172395,-0.607989372219639,0.693147180559945
"Elliot_2005_i2",TRUE,3,60,2.9,2.98888888888889,0.172884033065199,10,1.06471073699243,1.09490170927157,1.09861228866811
"Elliot_2005_i2",TRUE,4,60,3.8,6.4,0.25298221281347,10,1.33500106673234,1.85629799036563,1.38629436111989
"Elliot_2005_i2",TRUE,5,60,4.9,1.87777777777778,0.13703203194063,10,1.58923520511658,0.630089044592808,1.6094379124341
"Elliot_2005_i2",TRUE,2,80,2.6,1.6,0.126491106406735,10,0.955511445027436,0.470003629245736,0.693147180559945
"Elliot_2005_i2",TRUE,3,80,3.8,5.06666666666667,0.225092573548455,10,1.33500106673234,1.62268313918412,1.09861228866811
"Elliot_2005_i2",TRUE,4,80,5.2,3.06666666666667,0.175119007154183,10,1.64865862558738,1.12059119538689,1.38629436111989
"Elliot_2005_i2",TRUE,5,80,6.4,2.04444444444444,0.142984070596848,10,1.85629799036563,0.715126087278721,1.6094379124341
"Elliot_2005_i2",TRUE,2,100,3.2,1.28888888888889,0.113529242439509,10,1.16315080980568,0.2537805207761,0.693147180559945
"Elliot_2005_i2",TRUE,3,100,4.7,2.23333333333333,0.149443411809733,10,1.54756250871601,0.803495237728811,1.09861228866811
"Elliot_2005_i2",TRUE,4,100,6.4,3.15555555555556,0.17763883459299,10,1.85629799036563,1.14916456783094,1.38629436111989
"Elliot_2005_i2",TRUE,5,100,7.9,10.5444444444444,0.324722103412201,10,2.06686275947298,2.35559912827966,1.6094379124341
"Elliot_2005_i2",TRUE,2,120,3.7,0.677777777777778,0.0823272602348565,10,1.30833281965018,-0.388935806156954,0.693147180559945
"Elliot_2005_i2",TRUE,3,120,5.6,2.26666666666667,0.150554530541816,10,1.7227665977411,0.818310323513951,1.09861228866811
"Elliot_2005_i2",TRUE,4,120,7.4,3.15555555555556,0.17763883459299,10,2.00148000021012,1.14916456783094,1.38629436111989
"Elliot_2005_i2",TRUE,5,120,9.3,1.78888888888889,0.133749350984926,10,2.23001440015921,0.581594694654198,1.6094379124341
"Elliot_2005_i2",TRUE,2,140,4.3,0.9,0.0948683298050514,10,1.45861502269952,-0.105360515657826,0.693147180559945
"Elliot_2005_i2",TRUE,3,140,6.5,2.05555555555556,0.143372087784044,10,1.87180217690159,0.72054615474806,1.09861228866811
"Elliot_2005_i2",TRUE,4,140,8.6,1.15555555555556,0.107496769977314,10,2.15176220325946,0.144581228811107,1.38629436111989
"Elliot_2005_i2",TRUE,5,140,10.8,1.51111111111111,0.122927259430572,10,2.37954613413017,0.412845215405787,1.6094379124341
"Elliot_2005_i2",TRUE,2,160,4.9,1.65555555555556,0.128668393770792,10,1.58923520511658,0.504136635615194,0.693147180559945
"Elliot_2005_i2",TRUE,3,160,7.3,1.56666666666667,0.125166555703457,10,1.98787434815435,0.448950220047903,1.09861228866811
"Elliot_2005_i2",TRUE,4,160,9.8,0.844444444444444,0.0918936583472681,10,2.28238238567653,-0.169076330043934,1.38629436111989
"Elliot_2005_i2",TRUE,5,160,12.2,3.06666666666667,0.175119007154183,10,2.50143595173921,1.12059119538689,1.6094379124341
"Elliot_2005_i2",TRUE,2,180,5.4,0.933333333333333,0.0966091783079296,10,1.68639895357023,-0.0689928714869514,0.693147180559945
"Elliot_2005_i2",TRUE,3,180,8,1.11111111111111,0.105409255338946,10,2.07944154167984,0.105360515657826,1.09861228866811
"Elliot_2005_i2",TRUE,4,180,10.8,3.06666666666667,0.175119007154183,10,2.37954613413017,1.12059119538689,1.38629436111989
"Elliot_2005_i2",TRUE,5,180,13.6,3.15555555555556,0.17763883459299,10,2.61006979274201,1.14916456783094,1.6094379124341
"Elliot_2005_i2",TRUE,2,200,6,1.55555555555556,0.124721912892465,10,1.79175946922805,0.441832752279039,0.693147180559945
"Elliot_2005_i2",TRUE,3,200,8.9,1.65555555555556,0.128668393770792,10,2.18605127673809,0.504136635615194,1.09861228866811
"Elliot_2005_i2",TRUE,4,200,11.9,4.98888888888889,0.223358207570013,10,2.47653840011748,1.60721321741199,1.38629436111989
"Elliot_2005_i2",TRUE,5,200,14.9,6.98888888888889,0.264365067451978,10,2.70136121295141,1.94432158637018,1.6094379124341
"Elliot_2005_i3",TRUE,2,20,1.4,0.266666666666667,0.0516397779494322,10,0.336472236621213,-1.32175583998232,0.693147180559945
"Elliot_2005_i3",TRUE,3,20,2,0.888888888888889,0.0942809041582063,10,0.693147180559945,-0.117783035656384,1.09861228866811
"Elliot_2005_i3",TRUE,4,20,2.6,3.82222222222222,0.195505043981536,10,0.955511445027436,1.34083198704313,1.38629436111989
"Elliot_2005_i3",TRUE,5,20,3.3,1.78888888888889,0.133749350984926,10,1.19392246847243,0.581594694654198,1.6094379124341
"Elliot_2005_i3",TRUE,2,40,2.6,1.6,0.126491106406735,10,0.955511445027436,0.470003629245736,0.693147180559945
"Elliot_2005_i3",TRUE,3,40,3.9,5.43333333333333,0.233095116493961,10,1.3609765531356,1.69255281914461,1.09861228866811
"Elliot_2005_i3",TRUE,4,40,5.3,3.56666666666667,0.188856206322871,10,1.66770682055808,1.27163145279975,1.38629436111989
"Elliot_2005_i3",TRUE,5,40,6.6,2.48888888888889,0.157762127549323,10,1.88706964903238,0.911836381524775,1.6094379124341
"Elliot_2005_i3",TRUE,2,60,3.8,0.622222222222222,0.0788810637746616,10,1.33500106673234,-0.474457979595116,0.693147180559945
"Elliot_2005_i3",TRUE,3,60,5.8,2.4,0.154919333848297,10,1.75785791755237,0.8754687373539,1.09861228866811
"Elliot_2005_i3",TRUE,4,60,7.7,1.78888888888889,0.133749350984926,10,2.04122032885964,0.581594694654198,1.38629436111989
"Elliot_2005_i3",TRUE,5,60,9.6,1.15555555555556,0.107496769977314,10,2.26176309847379,0.144581228811107,1.6094379124341
"Elliot_2005_i3",TRUE,2,80,5,2,0.14142135623731,10,1.6094379124341,0.693147180559945,0.693147180559945
"Elliot_2005_i3",TRUE,3,80,7.5,2.05555555555556,0.143372087784044,10,2.01490302054226,0.72054615474806,1.09861228866811
"Elliot_2005_i3",TRUE,4,80,10,1.11111111111111,0.105409255338946,10,2.30258509299405,0.105360515657826,1.38629436111989
"Elliot_2005_i3",TRUE,5,80,12.6,3.15555555555556,0.17763883459299,10,2.53369681395743,1.14916456783094,1.6094379124341
"Elliot_2005_i3",TRUE,2,100,6.1,1.43333333333333,0.119721899973786,10,1.80828877117927,0.360002734031407,0.693147180559945
"Elliot_2005_i3",TRUE,3,100,9.2,1.28888888888889,0.113529242439509,10,2.21920348405499,0.2537805207761,1.09861228866811
"Elliot_2005_i3",TRUE,4,100,12.2,3.95555555555556,0.198885785202351,10,2.50143595173921,1.37512106052177,1.38629436111989
"Elliot_2005_i3",TRUE,5,100,15.3,5.78888888888889,0.240601099101581,10,2.72785282839839,1.7559403714231,1.6094379124341
"Elliot_2005_i3",TRUE,2,120,7.2,2.17777777777778,0.147572957474524,10,1.97408102602201,0.778304988900252,0.693147180559945
"Elliot_2005_i3",TRUE,3,120,10.8,3.51111111111111,0.187379590967403,10,2.37954613413017,1.25593254325665,1.09861228866811
"Elliot_2005_i3",TRUE,4,120,14.5,3.61111111111111,0.190029237516523,10,2.67414864942653,1.28401551199947,1.38629436111989
"Elliot_2005_i3",TRUE,5,120,18.1,4.32222222222222,0.207899548393502,10,2.89591193827178,1.46376967328818,1.6094379124341
"Elliot_2005_i3",TRUE,2,140,8.2,2.62222222222222,0.161932770686548,10,2.10413415427021,0.964022134695345,0.693147180559945
"Elliot_2005_i3",TRUE,3,140,12.3,6.67777777777778,0.258413965910857,10,2.50959926237837,1.89878526420494,1.09861228866811
"Elliot_2005_i3",TRUE,4,140,16.5,8.05555555555556,0.283823106098773,10,2.80336038090653,2.08636198452441,1.38629436111989
"Elliot_2005_i3",TRUE,5,140,20.6,10.4888888888889,0.323865541373097,10,3.02529107579554,2.35031649581524,1.6094379124341
"Elliot_2005_i3",TRUE,2,160,9.2,1.95555555555556,0.13984117975602,10,2.21920348405499,0.670674324707887,0.693147180559945
"Elliot_2005_i3",TRUE,3,160,13.7,10.6777777777778,0.326768691550733,10,2.61739583283408,2.36816473864003,1.09861228866811
"Elliot_2005_i3",TRUE,4,160,18.4,6.04444444444444,0.245854518861144,10,2.91235066461494,1.79913957652568,1.38629436111989
"Elliot_2005_i3",TRUE,5,160,23.1,5.43333333333333,0.233095116493961,10,3.13983261752775,1.69255281914461,1.6094379124341
"Elliot_2005_i3",TRUE,2,180,10.1,1.43333333333333,0.119721899973786,10,2.31253542384721,0.360002734031407,0.693147180559945
"Elliot_2005_i3",TRUE,3,180,15.2,4.62222222222222,0.214993539954628,10,2.72129542785223,1.530875589931,1.09861228866811
"Elliot_2005_i3",TRUE,4,180,20.2,3.51111111111111,0.187379590967403,10,3.00568260440716,1.25593254325665,1.38629436111989
"Elliot_2005_i3",TRUE,5,180,25.2,5.28888888888889,0.229975844142138,10,3.22684399451738,1.66560818390115,1.6094379124341
"Elliot_2005_i3",TRUE,2,200,11.1,1.87777777777778,0.13703203194063,10,2.40694510831829,0.630089044592808,0.693147180559945
"Elliot_2005_i3",TRUE,3,200,16.6,4.71111111111111,0.217050941281329,10,2.8094026953625,1.54992378490169,1.09861228866811
"Elliot_2005_i3",TRUE,4,200,22.2,2.62222222222222,0.161932770686548,10,3.10009228887823,0.964022134695345,1.38629436111989
"Elliot_2005_i3",TRUE,5,200,27.7,11.5666666666667,0.340098025084926,10,3.32143241319329,2.4481273982847,1.6094379124341
"Elliot_2005_i4",TRUE,2,20,2.6,0.933333333333333,0.0966091783079296,10,0.955511445027436,-0.0689928714869514,0.693147180559945
"Elliot_2005_i4",TRUE,3,20,3.3,4.23333333333333,0.205750658160146,10,1.19392246847243,1.44298970479644,1.09861228866811
"Elliot_2005_i4",TRUE,4,20,3.2,8.62222222222222,0.293636207273937,10,1.16315080980568,2.15434284985295,1.38629436111989
"Elliot_2005_i4",TRUE,5,20,2,0.444444444444444,0.0666666666666667,10,0.693147180559945,-0.810930216216329,1.6094379124341
"Elliot_2005_i4",TRUE,2,40,5,2.88888888888889,0.169967317119759,10,1.6094379124341,1.06087196068526,0.693147180559945
"Elliot_2005_i4",TRUE,3,40,6.3,3.78888888888889,0.194650684275419,10,1.84054963339749,1.33207280695325,1.09861228866811
"Elliot_2005_i4",TRUE,4,40,6.2,7.28888888888889,0.269979423084221,10,1.82454929205105,1.98635111861382,1.38629436111989
"Elliot_2005_i4",TRUE,5,40,4,2.22222222222222,0.149071198499986,10,1.38629436111989,0.798507696217772,1.6094379124341
"Elliot_2005_i4",TRUE,2,60,7.2,3.73333333333333,0.193218356615859,10,1.97408102602201,1.31730148963294,0.693147180559945
"Elliot_2005_i4",TRUE,3,60,9,2.22222222222222,0.149071198499986,10,2.19722457733622,0.798507696217772,1.09861228866811
"Elliot_2005_i4",TRUE,4,60,9,2.22222222222222,0.149071198499986,10,2.19722457733622,0.798507696217772,1.38629436111989
"Elliot_2005_i4",TRUE,5,60,6,4.66666666666667,0.216024689946929,10,1.79175946922805,1.54044504094715,1.6094379124341
"Elliot_2005_i4",TRUE,2,80,9.2,3.73333333333333,0.193218356615859,10,2.21920348405499,1.31730148963294,0.693147180559945
"Elliot_2005_i4",TRUE,3,80,11.7,8.01111111111111,0.283039062871384,10,2.45958884180371,2.08082946695468,1.09861228866811
"Elliot_2005_i4",TRUE,4,80,11.8,5.73333333333333,0.239443799947573,10,2.46809953147162,1.7462970951513,1.38629436111989
"Elliot_2005_i4",TRUE,5,80,7.8,11.0666666666667,0.332665998663324,10,2.05412373369555,2.40393758725433,1.6094379124341
"Elliot_2005_i4",TRUE,2,100,11,3.77777777777778,0.19436506316151,10,2.39789527279837,1.32913594727994,0.693147180559945
"Elliot_2005_i4",TRUE,3,100,14.1,11.6555555555556,0.341402336775183,10,2.64617479738412,2.45578293806603,1.09861228866811
"Elliot_2005_i4",TRUE,4,100,14.4,4.04444444444444,0.201108041719978,10,2.66722820658195,1.39734419730648,1.38629436111989
"Elliot_2005_i4",TRUE,5,100,9.6,1.6,0.126491106406735,10,2.26176309847379,0.470003629245736,1.6094379124341
"Elliot_2005_i4",TRUE,2,120,12.7,7.56666666666667,0.275075747143703,10,2.54160199346455,2.02375263581925,0.693147180559945
"Elliot_2005_i4",TRUE,3,120,16.5,10.2777777777778,0.320589734361189,10,2.80336038090653,2.32998406718216,1.09861228866811
"Elliot_2005_i4",TRUE,4,120,16.8,9.95555555555556,0.315524255098646,10,2.82137888640921,2.29813074264467,1.38629436111989
"Elliot_2005_i4",TRUE,5,120,11.3,4.01111111111111,0.200277585143997,10,2.42480272571829,1.38906828800262,1.6094379124341
"Elliot_2005_i4",TRUE,2,140,14.3,5.78888888888889,0.240601099101581,10,2.66025953726586,1.7559403714231,0.693147180559945
"Elliot_2005_i4",TRUE,3,140,18.6,3.15555555555556,0.17763883459299,10,2.92316158071916,1.14916456783094,1.09861228866811
"Elliot_2005_i4",TRUE,4,140,19.2,8.17777777777778,0.285968141193696,10,2.95491027903374,2.10142044839861,1.38629436111989
"Elliot_2005_i4",TRUE,5,140,13.1,4.98888888888889,0.223358207570013,10,2.57261223020711,1.60721321741199,1.6094379124341
"Elliot_2005_i4",TRUE,2,160,15.8,6.62222222222222,0.257336787541584,10,2.76000994003292,1.89043099673508,0.693147180559945
"Elliot_2005_i4",TRUE,3,160,20.7,7.34444444444444,0.271006354989038,10,3.03013370027132,1.99394416952142,1.09861228866811
"Elliot_2005_i4",TRUE,4,160,21.4,14.2666666666667,0.377712412645741,10,3.06339092202781,2.65792581391964,1.38629436111989
"Elliot_2005_i4",TRUE,5,160,14.8,7.73333333333333,0.278088714861523,10,2.69462718077007,2.04553999000415,1.6094379124341
"Elliot_2005_i4",TRUE,2,180,17.1,4.98888888888889,0.223358207570013,10,2.83907846350861,1.60721321741199,0.693147180559945
"Elliot_2005_i4",TRUE,3,180,22.5,9.16666666666667,0.302765035409749,10,3.11351530921037,2.21557371600442,1.09861228866811
"Elliot_2005_i4",TRUE,4,180,23.4,8.48888888888889,0.291356978445495,10,3.15273602236366,2.13875811883626,1.38629436111989
"Elliot_2005_i4",TRUE,5,180,16.4,11.1555555555556,0.333999334663343,10,2.79728133483015,2.41193762992141,1.6094379124341
"Elliot_2005_i4",TRUE,2,200,18.4,9.6,0.309838667696593,10,2.91235066461494,2.26176309847379,0.693147180559945
"Elliot_2005_i4",TRUE,3,200,24.3,14.9,0.386005181312376,10,3.1904763503465,2.70136121295141,1.09861228866811
"Elliot_2005_i4",TRUE,4,200,25.4,11.3777777777778,0.337309617084627,10,3.23474917402449,2.43166213526919,1.38629436111989
"Elliot_2005_i4",TRUE,5,200,18,4.88888888888889,0.221108319357027,10,2.89037175789616,1.58696505658204,1.6094379124341
"Elliot_2005_i5",TRUE,2,20,5.4,0.488888888888889,0.0699205898780101,10,1.68639895357023,-0.715620036412004,0.693147180559945
"Elliot_2005_i5",TRUE,3,20,7.2,4.62222222222222,0.214993539954628,10,1.97408102602201,1.530875589931,1.09861228866811
"Elliot_2005_i5",TRUE,4,20,7.8,1.51111111111111,0.122927259430572,10,2.05412373369555,0.412845215405787,1.38629436111989
"Elliot_2005_i5",TRUE,5,20,5.5,3.16666666666667,0.177951304200522,10,1.70474809223843,1.15267950993839,1.6094379124341
"Elliot_2005_i5",TRUE,2,40,9.9,2.1,0.144913767461894,10,2.29253475714054,0.741937344729377,0.693147180559945
"Elliot_2005_i5",TRUE,3,40,13.2,12.8444444444444,0.358391468152416,10,2.58021682959233,2.55291137890206,1.09861228866811
"Elliot_2005_i5",TRUE,4,40,14.8,10.8444444444444,0.329309040939426,10,2.69462718077007,2.38365291608283,1.38629436111989
"Elliot_2005_i5",TRUE,5,40,10.7,2.01111111111111,0.141813649241218,10,2.37024374146786,0.698687360935561,1.6094379124341
"Elliot_2005_i5",TRUE,2,60,13.8,4.84444444444444,0.220100986922922,10,2.62466859216316,1.57783257301877,0.693147180559945
"Elliot_2005_i5",TRUE,3,60,18.6,6.04444444444444,0.245854518861144,10,2.92316158071916,1.79913957652568,1.09861228866811
"Elliot_2005_i5",TRUE,4,60,21,8,0.282842712474619,10,3.04452243772342,2.07944154167984,1.38629436111989
"Elliot_2005_i5",TRUE,5,60,15.5,5.16666666666667,0.227303028283098,10,2.7408400239252,1.64222773525709,1.6094379124341
"Elliot_2005_i5",TRUE,2,80,17.1,5.87777777777778,0.242441287279576,10,2.83907846350861,1.77117876152803,0.693147180559945
"Elliot_2005_i5",TRUE,3,80,23.4,5.6,0.236643191323985,10,3.15273602236366,1.7227665977411,1.09861228866811
"Elliot_2005_i5",TRUE,4,80,26.6,13.6,0.368781778291715,10,3.28091121578765,2.61006979274201,1.38629436111989
"Elliot_2005_i5",TRUE,5,80,20,9.11111111111111,0.301846171271247,10,2.99573227355399,2.20949466992803,1.6094379124341
"Elliot_2005_i5",TRUE,2,100,20.1,11.4333333333333,0.338132124077754,10,3.00071981506503,2.43653306550378,0.693147180559945
"Elliot_2005_i5",TRUE,3,100,27.6,12.4888888888889,0.353396220818629,10,3.3178157727231,2.52483936012337,1.09861228866811
"Elliot_2005_i5",TRUE,4,100,31.6,12.2666666666667,0.350238014308365,10,3.45315712059287,2.50688555650678,1.38629436111989
"Elliot_2005_i5",TRUE,5,100,24.2,5.28888888888889,0.229975844142138,10,3.18635263316264,1.66560818390115,1.6094379124341
"Elliot_2005_i5",TRUE,2,120,22.7,4.23333333333333,0.205750658160146,10,3.12236492448736,1.44298970479644,0.693147180559945
"Elliot_2005_i5",TRUE,3,120,31.2,31.0666666666667,0.557374799095426,10,3.44041809481544,3.43613543302344,1.09861228866811
"Elliot_2005_i5",TRUE,4,120,36,27.1111111111111,0.52068331172711,10,3.58351893845611,3.29994364795698,1.38629436111989
"Elliot_2005_i5",TRUE,5,120,28.2,14.4,0.379473319220205,10,3.33932197794407,2.66722820658195,1.6094379124341
"Elliot_2005_i5",TRUE,2,140,25,15.7777777777778,0.397212509593766,10,3.2188758248682,2.75860248026504,0.693147180559945
"Elliot_2005_i5",TRUE,3,140,34.5,19.1666666666667,0.437797517885457,10,3.54095932403731,2.9531726591352,1.09861228866811
"Elliot_2005_i5",TRUE,4,140,40.2,19.5111111111111,0.441713833959399,10,3.69386699562498,2.9709841038648,1.38629436111989
"Elliot_2005_i5",TRUE,5,140,32,18.2222222222222,0.42687494916219,10,3.46573590279973,2.90264185048798,1.6094379124341
"Elliot_2005_i5",TRUE,2,160,27,10.8888888888889,0.329983164553722,10,3.29583686600433,2.38774290133435,0.693147180559945
"Elliot_2005_i5",TRUE,3,160,37.5,38.0555555555556,0.616891850777392,10,3.62434093297637,3.63904708036606,1.09861228866811
"Elliot_2005_i5",TRUE,4,160,44,37.1111111111111,0.609188896083235,10,3.78418963391826,3.61391641564048,1.38629436111989
"Elliot_2005_i5",TRUE,5,160,35.6,6.48888888888889,0.254732975660571,10,3.57234563785798,1.87009131249796,1.6094379124341
"Elliot_2005_i5",TRUE,2,180,28.9,14.1,0.375499667110372,10,3.36384159511839,2.64617479738412,0.693147180559945
"Elliot_2005_i5",TRUE,3,180,40.2,29.9555555555556,0.547316686713968,10,3.69386699562498,3.39971480170193,1.09861228866811
"Elliot_2005_i5",TRUE,4,180,47.4,39.6,0.629285308902091,10,3.85862222870103,3.67882911826043,1.38629436111989
"Elliot_2005_i5",TRUE,5,180,39,57.5555555555556,0.758653778449403,10,3.66356164612965,4.05275066492326,1.6094379124341
"Elliot_2005_i5",TRUE,2,200,30.6,9.82222222222222,0.313404247294484,10,3.42100000895834,2.28464739230738,0.693147180559945
"Elliot_2005_i5",TRUE,3,200,42.6,30.2666666666667,0.550151494287407,10,3.75185425327532,3.41004699693914,1.09861228866811
"Elliot_2005_i5",TRUE,4,200,50.6,69.6,0.834266144584568,10,3.92395157629342,4.24276456734037,1.38629436111989
"Elliot_2005_i5",TRUE,5,200,42.1,49.6555555555556,0.704666982024527,10,3.74004774068834,3.90511027860319,1.6094379124341
"Eveleigh_1982_aa",FALSE,1,10,8.45,3.3856,0.23,8,2.13416644136908,1.21953114324179,0
"Eveleigh_1982_aa",FALSE,1,20,14.15,18.6624,0.54,8,2.64971462408925,2.92651080451204,0
"Eveleigh_1982_aa",FALSE,1,30,18.75,49.5616,0.88,8,2.93119375241642,3.9032163403399,0
"Eveleigh_1982_aa",FALSE,1,40,25.5,47.3344,0.86,8,3.23867845216438,3.8572373038905,0
"Eveleigh_1982_aa",FALSE,1,60,27.95,151.7824,1.54,8,3.33041719960111,5.02244791621075,0
"Eveleigh_1982_aa",FALSE,1,120,37.53,21.3444,0.77,6,3.62514061314693,3.0607894101873,0
"Eveleigh_1982_aa",FALSE,2,20,19,3.24,0.36,5,2.94443897916644,1.17557332980424,0.693147180559945
"Eveleigh_1982_aa",FALSE,2,40,36.2,46.24,1.36,5,3.58905911883173,3.83384522436412,0.693147180559945
"Eveleigh_1982_aa",FALSE,2,60,46.52,30.25,1.1,5,3.83988232765046,3.40949618447685,0.693147180559945
"Eveleigh_1982_aa",FALSE,2,120,70.32,23.04,0.96,5,4.25305625337692,3.13723183582769,0.693147180559945
"Eveleigh_1982_aa",FALSE,4,40,39.92,0.16,0.08,5,3.68687745144326,-1.83258146374831,1.38629436111989
"Eveleigh_1982_aa",FALSE,4,60,58.24,3.24,0.36,5,4.06457240388843,1.17557332980424,1.38629436111989
"Eveleigh_1982_aa",FALSE,4,80,73.6,5.76,0.48,5,4.29864502573483,1.7509374747078,1.38629436111989
"Eveleigh_1982_aa",FALSE,4,120,103.12,64,1.6,5,4.63589335863093,4.15888308335967,1.38629436111989
"Eveleigh_1982_aa",FALSE,4,240,161.96,275.56,3.32,5,5.08734939116396,5.61880539072499,1.38629436111989
"Eveleigh_1982_aa",FALSE,6,60,59.58,0.36,0.12,5,4.08731994728514,-1.02165124753198,1.79175946922805
"Eveleigh_1982_aa",FALSE,6,120,108.06,56.25,1.5,5,4.68268662841592,4.02980604108453,1.79175946922805
"Eveleigh_1982_aa",FALSE,6,180,155.46,428.49,4.14,5,5.04638846380207,6.06026740054265,1.79175946922805
"Eveleigh_1982_pa",FALSE,1,10,5.3,10.7584,0.41,8,1.66770682055808,2.3756868447921,0
"Eveleigh_1982_pa",FALSE,1,20,12,19.36,0.55,8,2.484906649788,2.96320908184843,0
